#MS Peaks One: + Product Ion (rt: 4.253 min) (1194.5400 -> **) (2021-02-22_EG_1228_9_msms.d)
#
Center X	Height
1709.5758	31.31	
267.341	31.38	
1393.5967	31.39	
1526.814	31.41	
219.0688	31.59	
407.4407	31.62	
226.8859	31.64	
442.2746	31.64	
101.1728	31.67	
701.2992	31.68	
329.8801	31.7	
956.7593	31.75	
1444.659	31.77	
597.274	31.78	
571.1616	31.89	
313.5175	31.92	
369.097	31.92	
749.41	31.94	
897.4504	31.97	
115.1694	32	
1451.708	32	
178.665	32.01	
219.1508	32.04	
1155.534	32.04	
1262.6034	32.07	
2473.7904	32.1	
550.3359	32.25	
396.6909	32.28	
638.13	32.35	
806.2513	32.37	
1079.4357	32.48	
1680.8325	32.48	
229.0319	32.49	
1347.2364	32.52	
317.142	32.56	
169.3707	32.57	
540.1578	32.78	
531.3723	32.88	
805.3561	32.89	
738.2711	32.9	
914.1833	32.9	
196.5534	32.92	
941.4048	32.94	
1463.6755	32.97	
762.2132	33	
295.7989	33.01	
1227.5293	33.01	
692.2439	33.03	
1092.4068	33.03	
959.446	33.04	
1111.3935	33.04	
